2560	2098
10944	52422
965	8549
6927	1287
1312	1305
47	15225
12470	17612
715	7155
583	2300
19653	5446
3873	5413
9293	3686
471	19054
27172	727
5744	24953
13359	8935
5586	16357
862	13721
14951	10885
2780	11951
1942	31221
23364	50047
380	11112
120	27494
18381	2670
11073	413
207	1136
4114	4113
11325	36950
8629	9089
14659	7065
19420	9797
5081	7051
280	11082
3406	493
7031	13738
360	23625
25472	14254
14117	27636
4389	1022
34118	12534
44032	46024
874	1155
81	13667
26418	43179
7368	21316
26231	11150
8638	8678
15025	20225
12174	11763
14684	13194
23877	6349
9056	20167
39136	8695
1565	8515
5091	1047
10397	21931
1828	14323
20782	22298
2607	32264
22321	16174
18261	41606
359	11191
6960	39903
452	22149
8272	9302
1084	1555
3988	20892
11381	41716
17744	26139
19118	11966
10359	31822
17245	57142
23223	34318
18957	11911
26564	27302
9573	23949
14659	16745
12239	12603
3992	17905
5853	12856
5888	39545
6306	9529
1811	17721
5412	7510
8823	19269
13486	8236
30550	32473
23087	15853
16363	9925
5609	4153
38532	8877
9814	18640
6305	26433
6312	28837
10941	9834
1497	58406
7918	7924
23981	23460
14951	11537
3692	3602
13853	14993
4884	19582
3698	25757
18808	8177
1724	1194
6540	34439
5405	1902
1109	1102
723	12547
22297	26948
13007	14257
7347	29487
3712	8432
463	35
377	4159
128	430
32668	34733
2416	43026
24369	33078
14327	32795
9908	27126
1244	8438
8555	5384
2357	32330
8183	9255
1463	1682
4374	7898
36100	38979
2805	19596
437	20736
3053	2878
1900	19494
10148	36275
8497	7068
31711	29445
27431	16440
1727	7943
8971	11707
126	3724
2414	69
6329	40654
25938	32627
21853	29871
24323	8084
32404	26929
23951	32622
25130	16815
25750	31214
1210	2297
279	2590
11671	18044
22666	27442
1483	41694
1817	3838
792	35044
10933	3606
7674	4742
5497	16061
17779	18041
13077	21129
11525	14362
280	47740
517	3375
6997	23133
15333	36451
2872	30339
5394	8803
22719	10808
15898	28055
10636	53154
4158	389
5806	10860
8598	16367
1984	795
3739	5831
7632	29043
492	269
6313	24090
10806	5438
5289	11389
11857	30164
3017	3146
3006	28772
38715	33459
10614	2589
4262	5957
18313	18819
3871	14899
23576	38290
10443	10447
2332	1935
14899	3931
19680	3680
3063	39999
2063	15372
10103	8573
7532	18604
15170	23329
12813	4120
2717	33938
5077	28330
37024	3692
19186	13157
683	821
1612	9413
1230	2084
15348	13000
6126	13581
8183	31944
5148	34784
15403	51316
5294	8801
18115	38118
39142	39145
5055	24994
11069	22273
3768	2828
1679	18300
23501	42826
5888	23354
14236	14246
878	17174
1521	22244
9477	16332
8855	7001
8471	2760
5170	19129
39824	26916
3365	15434
280	14815
6740	15875
18309	20104
2714	54761
3012	8875
1120	18146
5106	7928
9208	8437
19526	25545
14794	20132
3567	3102
6070	13867
13717	15175
11069	10935
6432	8287
12932	717
28863	6226
146	626
2272	8842
3991	11798
1551	39043
9699	17296
83	6957
2362	36324
24470	5183
17116	10312
28818	39874
11289	16907
1575	15033
1858	1870
1113	1086
5468	31282
17204	16601
1408	1868
10176	12428
108	773
2322	8630
1819	9688
16791	20550
2982	16129
1293	1291
294	12466
11331	8058
17914	17911
21033	13149
360	1567
7742	7751
118	113
3639	34969
22091	24592
4340	19175
5912	2763
6913	920
8904	3182
18189	5643
9194	1935
4374	25279
14881	15572
1994	1766
11951	12279
22613	8850
3143	22168
133	9835
12237	18390
5101	7505
10677	7903
23377	11646
8752	22654
31792	33756
22677	44769
36439	30246
471	38694
1563	7196
18808	13366
589	10212
38517	44443
574	8406
8908	4713
2614	3034
4844	4786
6126	25132
14610	10194
13766	19809
437	87
3582	11812
14284	20819
10108	14616
17166	31156
7486	3706
32398	34405
6942	18131
9489	9504
2372	38711
12335	27387
6930	3230
15672	19159
7831	15708
4549	6213
8233	19490
6958	40645
6408	3426
7590	39981
13375	9928
8915	24150
3703	15582
15440	19175
14445	38383
9303	1048
8402	8612
27241	24755
21929	29311
1480	9140
12264	40354
17551	1731
1914	18895
1682	56699
8566	28837
30732	5438
25184	44961
2319	3714
1597	6334
9600	49864
14661	19417
4846	2432
7101	14212
1943	1193
882	15995
25129	1366
12986	9848
9825	9898
9607	44919
1221	12198
3374	8118
3395	4988
20042	15668
14815	17980
45449	57030
9795	22477
3829	10293
8180	14101
13990	24534
1846	12060
10891	15565
5431	16299
1907	17315
37357	12883
14194	4244
22355	36518
1811	13046
20320	8164
528	13980
3642	3701
6237	296
15	3377
18481	21184
19566	25082
5627	21397
1306	1323
32398	34404
575	7173
22666	24542
8615	29577
5431	33737
1528	7597
15717	3530
6911	5238
21016	39491
36160	12352
40173	19581
5191	12466
12882	8540
13465	12248
8182	5173
8423	13468
3878	14873
21342	37167
13333	1601
47002	45045
14693	33811
19538	23066
20120	41463
17318	28548
4676	5907
7512	10825
17390	7381
1496	3758
8571	20683
1990	5866
2616	2941
13009	13499
7111	7083
1143	849
2362	29812
238	246
2559	18398
2143	2151
7301	9689
3739	12659
1733	6469
11954	35224
11435	41185
18994	10066
9825	5094
5077	19704
8940	21269
20277	21664
2362	19129
2857	31510
594	22678
1874	10054
502	12856
24509	16330
26678	39142
5401	5472
9977	42005
26955	41098
7819	10073
4316	10518
4392	24866
24667	22895
39787	16434
33241	40698
39779	40971
2259	3019
39142	33904
6366	6777
5120	14257
11832	8433
12903	8001
13477	13482
8627	27796
8834	6995
8579	16361
962	2890
21340	24892
3611	13007
25933	36949
3709	3596
7973	14196
38224	28069
6595	3809
15448	4621
1244	12900
9649	22403
1464	36464
12436	4141
13815	17102
18482	10881
2324	12266
84	26678
26614	39949
2103	10499
2335	5146
24971	35351
5106	10813
5962	1210
8915	11636
24667	17560
381	14610
2654	16354
10683	14353
9165	9171
14684	30387
4892	2512
19772	16097
18682	18728
10130	10941
15443	17676
1079	6425
3873	5055
29265	388
13951	13949
364	4720
402	9131
3655	28986
1745	3062
25818	16073
35321	994
1996	8899
1342	1291
2388	7944
1103	20462
3635	3736
5869	5873
2583	7290
19411	20070
16579	14682
14814	24208
29141	5207
207	2522
2019	2009
9018	1053
17168	3017
1470	1387
1078	13577
11155	11843
1786	3502
12251	11522
10194	41410
2717	27751
27988	38693
8823	44333
1877	21119
2322	13060
16980	19526
11522	3185
9069	45499
13293	16987
19140	13496
13486	11806
82	7952
85	19231
47833	47956
8145	21404
11150	156
6864	15102
8927	3958
10881	24966
5609	1554
7765	14665
11274	26419
8948	31910
2943	16439
11216	14342
21894	12856
4374	9895
2939	1262
9	1
2310	8765
18668	6792
7117	7116
5065	23314
9489	45696
10099	7004
8653	2360
4953	2320
2576	4136
522	8541
3023	2996
207	2306
35340	16643
3145	15746
3429	3419
2325	36565
30674	9321
1090	5063
10948	27476
7920	20816
12852	3439
2466	14052
2186	4998
8670	18618
14693	36976
6211	29451
1663	7731
10661	1798
13675	3870
10050	20400
19140	11550
22677	26644
10948	5139
3476	8659
2695	6468
19505	8279
14417	1798
7896	17392
3516	38059
46276	8257
27241	39483
8126	29140
33722	13809
6008	6015
14880	3873
1900	1193
5088	3935
18971	5525
36100	19178
412	21323
13973	19466
2099	39421
2571	4669
2872	11390
24369	9874
10882	15245
9960	34963
13938	36048
4292	16854
1913	3871
8815	48102
2273	11525
38192	30194
43501	14046
11004	6690
1594	8639
429	3374
9442	137
19405	16174
3945	21798
9223	29145
15506	19805
16936	15226
8512	8004
1778	25127
14656	3381
22178	11042
13436	23676
16206	58811
19772	36502
14607	28681
13342	8384
51481	56975
27306	16572
25734	26937
1502	18512
8919	11888
13918	16100
469	16913
19526	5064
21142	3863
17487	24482
2872	4838
493	4122
17040	25937
503	2080
2208	9833
10810	3202
2714	50686
4846	7675
5405	9797
34207	39535
4703	35848
1158	4743
4879	11179
3629	24989
31200	9704
129	91
265	4568
17471	24654
15098	8888
14069	3926
23	22244
12557	43882
20347	15576
5099	16833
2472	8771
9539	24929
5777	1418
3414	5055
11515	11648
5923	19852
13311	27241
12743	1519
5798	27272
15035	1566
788	4293
6634	12379
9657	411
3871	11844
